no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,english,japanese,japanese_romanization,vietnamese,vietnamese_romanization,hakka_sixian_hanzi,hakka_sixian,hakka_sixian_display,hakka_sixian_match_type
19,利用,利用,이용,i yong,利用,lì yòng,use,利用,riyou,lợi dụng,loi dung,利用,li-yung,li iung,exact
20,效果,效果,효과,hyo gwa,效果,xiào guǒ,effect,効果,kouka,hiệu quả,hieu qua,效果,háu-kó,hauˋ goˋ,exact
21,部分,部分,부분,bu bun,部分,bù fèn,part,部分,bubun,bộ phân,bo phan,部分,phu-fûn/(又讀)phu-fun,pu funˊ/(又讀)pu fun,exact
22,方法,方法,방법,bang beop,方法,fāng fǎ,method,方法,houhou,phương pháp,phuong phap,方法,fông-fap,fongˊ fabˋ,exact
23,营业,營業,영업,yeong eop,营业,yíng yè,business,営業,eigyou,nghiệp,nghiep,營業,yìn-ngia̍p,inˇ ngiab,exact
24,情报,情報,정보,jeong bo,情报,qíng bào,intelligence,情報,jouhou,tình báo,tinh bao,情報,chhìn-po,qinˇ bo,exact
25,特别,特別,특별,teuk byeol,特别,tè bié,special,特別,tokubetsu,đặc biết,dac biet,特別,thi̍t-phe̍t/(又讀)thi̍t-phie̍t,tid ped/(又讀)tid pied,exact
26,希望,希望,희망,hui mang,希望,xī wàng,hope,希望,kibou,hơi vọng,hoi vong,希望,hî-mong,hiˊ mong,exact
27,文化,文化,문화,mun hwa,文化,wén huà,culture,文化,bunka,văn hoá,van hoa,文化,vùn-fa,vunˇ fa,exact
28,技术,技術,기술,gi sul,技术,jì shù,technology,技術,gijutsu,kĩ thuật,ki thuat,技術,(特)kî-su̍t/(又俗音)khî-su̍t,(特)giˊ sud/(又俗音)kiˊ sud,exact
29,基本,基本,기본,gi bon,基本,jī běn,basic,基本,kihon,cơ bản,co ban,基本,,,missing
30,意味,意味,의미,ui mi,意味,yì wèi,mean,意味,imi,ý vị,y vi,意味,yi-mi,i mi,char_composed
31,自动,自動,자동,ja dong,自动,zì dòng,automatic,自動,jidou,tự động,tu dong,自動,chhṳ-thung,cii tung,exact
32,内容,內容,내용,nae yong,内容,nèi róng,content,内容,naiyou,dung,dung,內容,nui-yùng,nui iungˇ,exact
33,自由,自由,자유,ja yu,自由,zì yóu,free,自由,jiyuu,tự do,tu do,自由,chhṳ-yù,cii iuˇ,exact
34,简单,簡單,간단,gan dan,简单,jiǎn dān,simple,簡単,kantan,giản đơn,gian don,簡單,kién-tân,gienˋ danˊ,exact
35,中心,中心,중심,jung sim,中心,zhōng xīn,center,中心,chuushin,trung tâm,trung tam,中心,chûng-sîm,zungˊ ximˊ,exact
36,最近,最近,최근,choe geun,最近,zuì jìn,recent,最近,saikin,tối cận,toi can,最近,chui-khiûn,zui kiunˊ,char_composed
37,参加,參加,참가,cham ga,参加,cān jiā,join,参加,sanka,tham gia,tham gia,參加,chhâm-kâ,camˊ gaˊ,exact
38,结婚,結婚,결혼,gyeol hon,结婚,jié hūn,marry,結婚,kekkon,kết,ket,結婚,kiet-fûn,giedˋ funˊ,exact
39,一般,一般,일반,il ban,一般,yì bān,generally,一般,ippan,nhất bàn,nhat ban,一般,yit-pân,idˋ banˊ,exact
40,社会,社會,사회,sa hoe,社会,shè huì,society,社会,shakai,xã hội,xa hoi,社會,sa-fi/(又讀)sâ-fi,sa fi/(又讀)saˊ fi,exact
41,保险,保險,보험,bo heom,保险,bǎo xiǎn,insurance,保険,hoken,bảo hiểm,bao hiem,保險,pó-hiám,boˋ hiamˋ,exact
42,学校,學校,학교,hak gyo,学校,xué xiào,school,学校,gakkou,học chò,hoc cho,學校,ho̍k-káu,hog gauˋ,exact
43,开发,開發,개발,gae bal,开发,kāi fā,develop,開発,kaihatsu,khai phát,khai phat,開發,khôi-fat,koiˊ fadˋ,exact
44,先生,先生,선생,seon saeng,先生,xiān shēng,gentlemen,先生,sensei,tiên sinh,tien sinh,先生,sîn-sâng,xinˊ sangˊ,exact
45,程度,程度,정도,jeong do,程度,chéng dù,degree,程度,teido,trình độ,trinh do,程度,chhàng-thu,cangˇ tu,exact
46,大会,大會,대회,dae hoe,大会,dà huì,general assembly,大会,taikai,đại hội,dai hoi,大會,thai-voi,tai voi,char_composed
47,发表,發表,발표,bal pyo,发表,fā biǎo,publish,発表,happyou,phát biểu,phat bieu,發表,fat-péu,fadˋ beuˋ,exact
48,印象,印象,인상,in sang,印象,yìn xiàng,impression,印象,inshou,ấn tượng,an tuong,印象,yin-siong,in xiong,exact
49,结果,結果,결과,gyeol gwa,结果,jié guǒ,result,結果,kekka,kết quả,ket qua,結果,kiet-kó,giedˋ goˋ,exact
50,存在,存在,존재,jon jae,存在,cún zài,exist,存在,sonzai,tồn tại,ton tai,存在,sùn-ti,sunˇ di,char_composed
51,最初,最初,최초,choe cho,最初,zuì chū,initial,最初,saisho,tối sơ,toi so,最初,chui-chhû,zui cuˊ,char_composed
52,装备,裝備,장비,jang bi,装备,zhuāng bèi,equipment,装備,soubi,trang bị,trang bi,裝備,chông-phi,zongˊ pi,exact
53,消费,消費,소비,so bi,消费,xiāo fèi,consumption,消費,shouhi,tiêu phí,tieu phi,消費,sêu-fi,seuˊ fi,exact
54,采用,採用,채용,chae yong,采用,cǎi yòng,use,採用,saiyou,thái dụng,thai dung,採用,chhái-yung,caiˋ iung,exact
55,全体,全體,전체,jeon che,全体,quán tǐ,all,全体,zentai,toàn thể,toan the,全體,chhiòn-thí,qionˇ tiˋ,exact
56,飞行,飛行,비행,bi haeng,飞行,fēi xíng,flight,飛行,hikou,phi hàng,phi hang,飛行,pî-hàng/(又讀)fî-hàng,biˊ hangˇ/(又讀)fiˊ hangˇ,exact
57,国际,國際,국제,guk je,国际,guó jì,internationality,国際,kokusai,quốc,quoc,國際,koet-chi,guedˋ ji,exact
58,企业,企業,기업,gi eop,企业,qǐ yè,enterprise,企業,kigyou,xí nghiệp,xi nghiep,企業,khî-ngia̍p,kiˊ ngiab,exact
59,专门,專門,전문,jeon mun,专门,zhuān mén,specialized,専門,senmon,chuyên môn,chuyen mon,專門,chôn-mùn,zonˊ munˇ,exact
60,中央,中央,중앙,jung ang,中央,zhōng yāng,central,中央,chuuou,trung ương,trung uong,中央,tûng-ông,dungˊ ongˊ,exact
61,普通,普通,보통,bo tong,普通,pǔ tōng,ordinary,普通,futsuu,phổ thông,pho thong,普通,phû-thûng,puˊ tungˊ,exact
62,经济,經濟,경제,gyeong je,经济,jīng jì,economy,経済,keizai,kinh,kinh,經濟,kîn-chi,ginˊ ji,exact
63,现代,現代,현대,hyeon dae,现代,xiàn dài,modern,現代,gendai,hiện đại,hien dai,現代,hien-thoi,hien toi,exact
64,当时,當時,당시,dang si,当时,dāng shí,then,当時,touji,đương thì,duong thi,當時,tông-sṳ̀,dongˊ siiˇ,exact
65,实际,實際,실제,sil je,实际,shí jì,actual,実際,jissai,thực,thuc,實際,sṳ̍t-chi,siid ji,exact
66,学生,學生,학생,hak saeng,学生,xué shēng,student,学生,gakusei,học sinh,hoc sinh,學生,ho̍k-sên,hog senˊ,char_composed
67,银行,銀行,은행,eun haeng,银行,yín háng,bank,銀行,ginkou,ngân hàng,ngan hang,銀行,ngiùn-hòng,ngiunˇ hongˇ,exact
68,旅行,旅行,여행,yeo haeng,旅行,lǚ xíng,travel,旅行,ryokou,lữ hàng,lu hang,旅行,lî-hàng,liˊ hangˇ,exact
69,以下,以下,이하,i ha,以下,yǐ xià,the following,以下,ika,hạ,ha,以下,yî-ha,iˊ ha,exact
70,说明,說明,설명,seol myeong,说明,shuō míng,illustrate,説明,setsumei,minh,minh,說明,sot-mìn,sodˋ minˇ,exact
71,感觉,感覺,감각,gam gak,感觉,gǎn jué,feel,感覚,kankaku,cảm giác,cam giac,感覺,kám-kok,gamˋ gogˋ,exact
72,经验,經驗,경험,gyeong heom,经验,jīng yàn,experience,経験,keiken,kinh nghiệm,kinh nghiem,經驗,kîn-ngiam,ginˊ ngiam,exact
73,活跃,活躍,활약,hwal yak,活跃,huó yuè,active,活躍,katsuyaku,hoạt dược,hoat duoc,活躍,,,missing
74,代表,代表,대표,dae pyo,代表,dài biǎo,represent,代表,daihyou,đại biểu,dai bieu,代表,thoi-péu,toi beuˋ,exact
75,通信,通信,통신,tong sin,通信,tōng xìn,communication,通信,tsuushin,thông tín,thong tin,通信,thûng-sin,tungˊ xin,char_composed
76,主人,主人,주인,ju in,主人,zhǔ rén,owner,主人,shujin,chúa nhân,chua nhan,主人,chú-ngìn,zuˋ nginˇ,exact
77,安心,安心,안심,an sim,安心,ān xīn,peace of mind,安心,anshin,an tâm,an tam,安心,ôn-sîm,onˊ ximˊ,exact
78,以外,以外,이외,i oe,以外,yǐ wài,outside,以外,igai,ngoại,ngoai,以外,yî-ngoi,iˊ ngoi,exact
79,表现,表現,표현,pyo hyeon,表现,biǎo xiàn,performance,表現,hyougen,biểu hiện,bieu hien,表現,péu-hien,beuˋ hien,exact
80,意识,意識,의식,ui sik,意识,yì shí,consciousness,意識,ishiki,ý,y,意識,yi-sṳt,i siidˋ,char_composed
81,非常,非常,비상,bi sang,非常,fēi cháng,very,非常,hijou,phi thường,phi thuong,非常,fî-sòng,fiˊ songˇ,char_composed
82,活动,活動,활동,hwal dong,活动,huó dòng,activity,活動,katsudou,hoạt động,hoat dong,活動,fa̍t-thung,fad tung,exact
83,运动,運動,운동,un dong,运动,yùn dòng,sports,運動,undou,vận động,van dong,運動,yun-thung,iun tung,exact
84,新闻,新聞,신문,sin mun,新闻,xīn wén,news,新聞,shinbun,tân,tan,新聞,sîn-vùn,xinˊ vunˇ,exact
85,理由,理由,이유,i yu,理由,lǐ yóu,reason,理由,riyuu,lí do,li do,理由,lî-yù,liˊ iuˇ,exact
86,指导,指導,지도,ji do,指导,zhǐ dǎo,guide,指導,shidou,chỉ đạo,chi dao,指導,chṳ́-thô,ziiˋ toˊ,exact
87,实现,實現,실현,sil hyeon,实现,shí xiàn,accomplish,実現,jitsugen,thực hiện,thuc hien,實現,sṳ̍t-hien,siid hien,exact
88,家庭,家庭,가정,ga jeong,家庭,jiā tíng,family,家庭,katei,gia đình,gia dinh,家庭,kâ-thìn,gaˊ tinˇ,exact
89,变化,變化,변화,byeon hwa,变化,biàn huà,change,変化,henka,biến hoá,bien hoa,變化,pien-fa,bien fa,exact
90,位置,位置,위치,wi chi,位置,wèi zhì,location,位置,ichi,vị trí,vi tri,位置,vi-chṳ,vi zii,exact
91,种类,種類,종류,jong ryu,种类,zhǒng lèi,type,種類,shurui,chõng loại,chong loai,種類,chúng-lui,zungˋ lui,exact
92,完全,完全,완전,wan jeon,完全,wán quán,completely,完全,kanzen,hoàn toàn,hoan toan,完全,vàn-chhiòn,vanˇ qionˇ,exact
93,资料,資料,자료,ja ryo,资料,zī liào,material,資料,shiryou,liệu,lieu,資料,chṳ̂-liau,ziiˊ liau,exact
94,同时,同時,동시,dong si,同时,tóng shí,at the same time,同時,douji,đồng thì,dong thi,同時,thùng-sṳ̀,tungˇ siiˇ,exact
95,个人,個人,개인,gae in,个人,gè rén,personal,個人,kojin,cá nhân,ca nhan,個人,ke-ngìn,ge nginˇ,exact
96,政治,政治,정치,jeong chi,政治,zhèng zhì,politics,政治,seiji,chính trị,chinh tri,政治,chṳn-chhṳ,ziin cii,exact
97,完成,完成,완성,wan seong,完成,wán chéng,finish,完成,kansei,hoàn thành,hoan thanh,完成,vàn-sṳ̀n,vanˇ siinˇ,exact
98,设计,設計,설계,seol gye,设计,shè jì,design,設計,sekkei,thết kể,thet ke,設計,sat-kie,sadˋ gie,exact
99,表示,表示,표시,pyo si,表示,biǎo shì,express,表示,hyouji,biểu kì,bieu ki,表示,péu-sṳ,beuˋ sii,exact
100,艺术,藝術,예술,ye sul,艺术,yì shù,art,芸術,geijutsu,nghệ thuật,nghe thuat,藝術,ngi-su̍t,ngi sud,exact
101,发行,發行,발행,bal haeng,发行,fā xíng,issued,発行,hakkou,phát hàng,phat hang,發行,fat-hàng,fadˋ hangˇ,exact
102,决定,決定,결정,gyeol jeong,决定,jué dìng,decide,決定,kettei,quyết định,quyet dinh,決定,kiet-thin,giedˋ tin,exact
103,重要,重要,중요,jung yo,重要,zhòng yào,important,重要,juuyou,trọng yếu,trong yeu,重要,chhung-yeu,cung ieu,exact
104,评价,評價,평가,pyeong ga,评价,píng jià,evaluate,評価,hyouka,bình giá,binh gia,評價,phìn-ka,pinˇ ga,char_composed
105,是非,是非,시비,si bi,是非,shì fēi,right and wrong,是非,zehi,thị phi,thi phi,是非,sṳ-fî,sii fiˊ,exact
106,方式,方式,방식,bang sik,方式,fāng shì,way,方式,houshiki,phương thức,phuong thuc,方式,fông-sṳt,fongˊ siidˋ,exact
107,有名,有名,유명,yu myeong,有名,yǒu míng,famous,有名,yuumei,hữu danh,huu danh,有名,yû-miàng,iuˊ miangˇ,exact
108,制品,製品,제품,je pum,制品,zhì pǐn,products,製品,seihin,chế phẩm,che pham,製品,chṳ-phín,zii pinˋ,char_composed
109,当然,當然,당연,dang yeon,当然,dāng rán,certainly,当然,touzen,đương nhiên,duong nhien,當然,tông-yèn,dongˊ ienˇ,exact
110,目的,目的,목적,mok jeok,目的,mù dì,purpose,目的,mokuteki,mục đích,muc dich,目的,muk-tit,mugˋ didˋ,exact
111,材料,材料,재료,jae ryo,材料,cái liào,material,材料,zairyou,liệu,lieu,材料,chhòi-liau,coiˇ liau,exact
112,时期,時期,시기,si gi,时期,shí qī,period,時期,jiki,thì kì,thi ki,時期,sṳ̀-khì,siiˇ kiˇ,exact
113,注意,注意,주의,ju ui,注意,zhù yì,notice,注意,chuui,chú ý,chu y,注意,chu-yi,zu i,exact
114,传统,傳統,전통,jeon tong,传统,chuán tǒng,tradition,伝統,dentou,truyền thống,truyen thong,傳統,chhòn-thúng,conˇ tungˋ,exact
115,以前,以前,이전,i jeon,以前,yǐ qián,before,以前,izen,tiền,tien,以前,yî-chhièn,iˊ qienˇ,exact
116,处理,處理,처리,cheo ri,处理,chǔ lǐ,deal with,処理,shori,xử lí,xu li,處理,chhú-lî,cuˋ liˊ,exact
117,能力,能力,능력,neung ryeok,能力,néng lì,ability,能力,nouryoku,năng lực,nang luc,能力,nèn-li̍t,nenˇ lid,exact
118,方向,方向,방향,bang hyang,方向,fāng xiàng,direction,方向,houkou,phương hướng,phuong huong,方向,fông-hiong,fongˊ hiong,exact
119,交通,交通,교통,gyo tong,交通,jiāo tōng,transportation,交通,koutsuu,giao thông,giao thong,交通,kâu-thûng,gauˊ tungˊ,exact
120,读者,讀者,독자,dok ja,读者,dú zhě,reader,読者,dokusha,độc,doc,讀者,thu̍k-chá,tug zaˋ,exact
121,丰富,豊富,풍부,pung bu,丰富,fēng fù,rich,豊富,houfu,phú,phu,豊富,,,missing
122,季节,季節,계절,gye jeol,季节,jì jié,season,季節,kisetsu,quí tiết,qui tiet,季節,kui-chiet,gui jiedˋ,exact
123,世纪,世紀,세기,se gi,世纪,shì jì,century,世紀,seiki,thế kỉ,the ki,世紀,sṳ-ki,sii gi,exact
124,构成,構成,구성,gu seong,构成,gòu chéng,constitute,構成,kousei,thành,thanh,構成,kiêu-sàng,gieuˊ sangˇ,char_composed
125,原因,原因,원인,won in,原因,yuán yīn,reason,原因,gen'in,nguyên nhân,nguyen nhan,原因,ngièn-yîn,ngienˇ inˊ,exact
126,食品,食品,식품,sik pum,食品,shí pǐn,food,食品,shokuhin,phẩm,pham,食品,sṳ̍t-phín,siid pinˋ,exact
127,直接,直接,직접,jik jeop,直接,zhí jiē,direct,直接,chokusetsu,tiếp,tiep,直接,chhṳ̍t-chiap,ciid jiabˋ,exact
128,平均,平均,평균,pyeong gyun,平均,píng jūn,average,平均,heikin,bình quân,binh quan,平均,phìn-kiûn,pinˇ giunˊ,exact
129,美术,美術,미술,mi sul,美术,měi shù,art,美術,bijutsu,mỉ thuật,mi thuat,美術,mî-su̍t,miˊ sud,exact
130,教育,敎育,교육,gyo yuk,教育,jiào yù,educate,教育,kyouiku,dục,duc,教育,kau-yuk,gau iugˋ,exact
131,事业,事業,사업,sa eop,事业,shì yè,cause,事業,jigyou,sự nghiệp,su nghiep,事業,sṳ-ngia̍p,sii ngiab,exact
132,事实,事實,사실,sa sil,事实,shì shí,fact,事実,jijitsu,sự thực,su thuc,事實,sṳ-sṳ̍t,sii siid,exact
133,文字,文字,문자,mun ja,文字,wén zì,word,文字,moji,văn tự,van tu,文字,vùn-sṳ,vunˇ sii,exact
134,事件,事件,사건,sa geon,事件,shì jiàn,event,事件,jiken,sự kiện,su kien,事件,sṳ-khien,sii kien,exact
135,请求,請求,청구,cheong gu,请求,qǐng qiú,ask,請求,seikyuu,thỉnh cầu,thinh cau,請求,chhiáng-khiù,qiangˋ kiuˇ,char_composed
136,对象,對象,대상,dae sang,对象,duì xiàng,object,対象,taishou,đỗi tượng,doi tuong,對象,tui-siong,dui xiong,exact
137,安定,安定,안정,an jeong,安定,ān dìng,stable,安定,antei,an định,an dinh,安定,ôn-thin,onˊ tin,exact
138,安全,安全,안전,an jeon,安全,ān quán,safety,安全,anzen,an toàn,an toan,安全,ôn-chhiòn,onˊ qionˇ,exact
139,管理,管理,관리,gwan ri,管理,guǎn lǐ,manage,管理,kanri,quản lí,quan li,管理,kón-lî,gonˋ liˊ,exact
140,以来,以來,이래,i rae,以来,yǐ lái,since,以来,irai,lai,lai,以來,yî-lòi,iˊ loiˇ,exact
141,选择,選擇,선택,seon taek,选择,xuǎn zé,choose,選択,sentaku,tuyển trạch,tuyen trach,選擇,sién-chhe̍t,xienˋ ced,exact
142,诞生,誕生,탄생,tan saeng,诞生,dàn shēng,birth,誕生,tanjou,sinh,sinh,誕生,tan-sên,dan senˊ,char_composed
143,地区,地區,지구,ji gu,地区,dì qū,area,地区,chiku,địa khu,dia khu,地區,thi-khî,ti kiˊ,exact
144,指挥,指揮,지휘,ji hwi,指挥,zhǐ huī,command,指揮,shiki,chỉ huy,chi huy,指揮,chṳ́-fî,ziiˋ fiˊ,exact
145,女子,女子,여자,yeo ja,女子,nǚ zǐ,woman,女子,joshi,tí,ti,女子,,,missing
146,地方,地方,지방,ji bang,地方,dì fāng,place,地方,chihou,địa phương,dia phuong,地方,thi-fông,ti fongˊ,exact
147,展开,展開,전개,jeon gae,展开,zhǎn kāi,expand,展開,tenkai,triển khai,trien khai,展開,chán-khôi,zanˋ koiˊ,exact
148,有效,有效,유효,yu hyo,有效,yǒu xiào,efficient,有効,yuukou,hữu hiệu,huu hieu,有效,yû-háu,iuˊ hauˋ,exact
149,成分,成分,성분,seong bun,成分,chéng fèn,element,成分,seibun,thành phân,thanh phan,成分,sṳ̀n-fun,siinˇ fun,exact
150,构造,構造,구조,gu jo,构造,gòu zào,structure,構造,kouzou,tạo,tao,構造,kiêu-chho,gieuˊ co,char_composed
151,成功,成功,성공,seong gong,成功,chéng gōng,success,成功,seikou,thành công,thanh cong,成功,sṳ̀n-kûng,siinˇ gungˊ,exact
152,精神,精神,정신,jeong sin,精神,jīng shén,spirit,精神,seishin,tinh thần,tinh than,精神,chîn-sṳ̀n,jinˊ siinˇ,exact
153,实施,實施,실시,sil si,实施,shí shī,implement,実施,jisshi,thực thi,thuc thi,實施,sṳ̍t-sṳ̂,siid siiˊ,char_composed
154,演出,演出,연출,yeon chul,演出,yǎn chū,show,演出,enshutsu,diễn xuất,dien xuat,演出,yên-chhut,ienˊ cudˋ,char_composed
155,观测,觀測,관측,gwan cheuk,观测,guān cè,observation,観測,kansoku,quan trắc,quan trac,觀測,,,missing
156,生产,生産,생산,saeng san,生产,shēng chǎn,production,生産,seisan,sinh sản,sinh san,生産,,,missing
157,理解,理解,이해,i hae,理解,lǐ jiě,understand,理解,rikai,lí giải,li giai,理解,lî-kié,liˊ gieˋ,exact
158,出版,出版,출판,chul pan,出版,chū bǎn,publishing,出版,shuppan,xuất bản,xuat ban,出版,chhut-pán,cudˋ banˋ,exact
159,调整,調整,조정,jo jeong,调整,tiáo zhěng,adjustment,調整,chousei,điều chỉnh,dieu chinh,調整,thiàu-chṳ́n,tiauˇ ziinˋ,exact
160,交换,交換,교환,gyo hwan,交换,jiāo huàn,exchange,交換,koukan,giao,giao,交換,kâu-von,gauˊ von,exact
161,前后,前後,전후,jeon hu,前后,qián hòu,before and after,前後,zengo,tiền hậu,tien hau,前後,chhièn-heu,qienˇ heu,exact
162,少年,少年,소년,so nyeon,少年,shào nián,juvenile,少年,shounen,thiểu nên,thieu nen,少年,seu-ngièn,seu ngienˇ,exact
163,费用,費用,비용,bi yong,费用,fèi yòng,cost,費用,hiyou,phí dụng,phi dung,費用,fi-yung,fi iung,exact
164,日常,日常,일상,il sang,日常,rì cháng,daily,日常,nichijou,nhật thường,nhat thuong,日常,ngit-sòng,ngidˋ songˇ,char_composed
165,作业,作業,작업,jak eop,作业,zuò yè,operation,作業,sagyou,tác nghiệp,tac nghiep,作業,chok-ngia̍p,zogˋ ngiab,exact
166,集中,集中,집중,jip jung,集中,jí zhōng,concentrated,集中,shuuchuu,tập trung,tap trung,集中,si̍p-tûng,xib dungˊ,char_composed
167,小说,小說,소설,so seol,小说,xiǎo shuō,novel,小説,shousetsu,tiểu,tieu,小說,séu-sot,seuˋ sodˋ,exact
168,全部,全部,전부,jeon bu,全部,quán bù,all,全部,zenbu,toàn bộ,toan bo,全部,chhiòn-phu,qionˇ pu,exact
169,现实,現實,현실,hyeon sil,现实,xiàn shí,reality,現実,genjitsu,hiện thực,hien thuc,現實,hien-sṳ̍t,hien siid,exact
170,个性,個性,개성,gae seong,个性,gè xìng,personality,個性,kosei,cá tính,ca tinh,個性,ke-sin,ge xin,char_composed
171,比较,比較,비교,bi gyo,比较,bǐ jiào,compare,比較,hikaku,tỉ,ti,比較,pí-káu/(又讀)pí-kau,biˋ gauˋ/(又讀)biˋ gau,exact
172,表情,表情,표정,pyo jeong,表情,biǎo qíng,expression,表情,hyoujou,biểu tình,bieu tinh,表情,péu-chhìn,beuˋ qinˇ,exact
173,经营,經營,경영,gyeong yeong,经营,jīng yíng,business,経営,keiei,kinh,kinh,經營,kîn-yìn,ginˊ inˇ,exact
174,市场,市場,시장,si jang,市场,shì chǎng,market,市場,shijou,thị trường,thi truong,市場,sṳ-chhòng,sii congˇ,exact
175,职业,職業,직업,jik eop,职业,zhí yè,profession,職業,shokugyou,chức nghiệp,chuc nghiep,職業,chṳt-ngia̍p,ziidˋ ngiab,exact
176,不安,不安,불안,bul an,不安,bù ān,disturbed,不安,fuan,bất an,bat an,不安,put-ôn,budˋ onˊ,char_composed
177,外国,外國,외국,oe guk,外国,wài guó,foreign,外国,gaikoku,ngoại quốc,ngoai quoc,外國,ngoi-koet,ngoi guedˋ,exact
178,各种,各種,각종,gak jong,各种,gè zhǒng,various,各種,kakushu,các chõng,cac chong,各種,kok-chúng,gogˋ zungˋ,exact
179,将来,將來,장래,jang rae,将来,jiāng lái,future,将来,shourai,tướng lai,tuong lai,將來,chiông-lòi,jiongˊ loiˇ,exact
180,战争,戰爭,전쟁,jeon jaeng,战争,zhàn zhēng,war,戦争,sensou,chiến tranh,chien tranh,戰爭,chan-chên,zan zenˊ,exact
181,成长,成長,성장,seong jang,成长,chéng zhǎng,growing up,成長,seichou,thành trường,thanh truong,成長,sṳ̀n-chóng,siinˇ zongˋ,exact
182,公园,公園,공원,gong won,公园,gōng yuán,garden,公園,kouen,công viên,cong vien,公園,kûng-yèn,gungˊ ienˇ,exact
183,治疗,治療,치료,chi ryo,治疗,zhì liáo,treat,治療,chiryou,trị liệu,tri lieu,治療,chhṳ-liàu,cii liauˇ,exact
184,自信,自信,자신,ja sin,自信,zì xìn,confidence,自信,jishin,tự tín,tu tin,自信,chhṳ-sin,cii xin,exact
185,满足,滿足,만족,man jok,满足,mǎn zú,satisfy,満足,manzoku,mãn túc,man tuc,滿足,,,missing
186,倾向,傾向,경향,gyeong hyang,倾向,qīng xiàng,tendency,傾向,keikou,khuynh hướng,khuynh huong,傾向,khîn-hiong,kinˊ hiong,char_composed
187,作家,作家,작가,jak ga,作家,zuò jiā,writer,作家,sakka,tác gia,tac gia,作家,chok-kâ,zogˋ gaˊ,exact
188,电子,電子,전자,jeon ja,电子,diàn zi,electronic,電子,denshi,tí,ti,電子,thien-chṳ́,tien ziiˋ,exact
189,过去,過去,과거,gwa geo,过去,guò qù,past,過去,kako,quá khứ,qua khu,過去,ko-hi,go hi,exact
190,空间,空間,공간,gong gan,空间,kōng jiān,space,空間,kuukan,không gian,khong gian,空間,khûng-kiên,kungˊ gienˊ,exact
191,生命,生命,생명,saeng myeong,生命,shēng mìng,life,生命,seimei,sinh mệnh,sinh menh,生命,sên-miang,senˊ miang,exact
192,道路,道路,도로,do ro,道路,dào lù,the way,道路,douro,đạo lộ,dao lo,道路,tho-lu,to lu,char_composed
193,意见,意見,의견,ui gyeon,意见,yì jiàn,opinion,意見,iken,ý kiến,y kien,意見,yi-kien,i gien,exact
194,记忆,記憶,기억,gi eok,记忆,jì yì,memory,記憶,kioku,kí ức,ki uc,記憶,ki-yit,gi idˋ,exact
