no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,japanese,japanese_romanization,vietnamese,vietnamese_romanization
75,通信,通信,통신,tong sin,通信,tōng xìn,通信,tsuushin,thông tín,thong tin
76,主人,主人,주인,ju in,主人,zhǔ rén,主人,shujin,chúa nhân,chua nhan
77,安心,安心,안심,an sim,安心,ān xīn,安心,anshin,an tâm,an tam
78,以外,以外,이외,i oe,以外,yǐ wài,以外,igai,ngoại,ngoai
79,表现,表現,표현,pyo hyeon,表现,biǎo xiàn,表現,hyougen,biểu hiện,bieu hien
80,意识,意識,의식,ui sik,意识,yì shí,意識,ishiki,ý,y
81,非常,非常,비상,bi sang,非常,fēi cháng,非常,hijou,phi thường,phi thuong
82,活动,活動,활동,hwal dong,活动,huó dòng,活動,katsudou,hoạt động,hoat dong
83,运动,運動,운동,un dong,运动,yùn dòng,運動,undou,vận động,van dong
84,新闻,新聞,신문,sin mun,新闻,xīn wén,新聞,shinbun,tân,tan
85,理由,理由,이유,i yu,理由,lǐ yóu,理由,riyuu,lí do,li do
86,指导,指導,지도,ji do,指导,zhǐ dǎo,指導,shidou,chỉ đạo,chi dao
87,实现,實現,실현,sil hyeon,实现,shí xiàn,実現,jitsugen,thực hiện,thuc hien
88,家庭,家庭,가정,ga jeong,家庭,jiā tíng,家庭,katei,gia đình,gia dinh
89,变化,變化,변화,byeon hwa,变化,biàn huà,変化,henka,biến hoá,bien hoa
90,位置,位置,위치,wi chi,位置,wèi zhì,位置,ichi,vị trí,vi tri
91,种类,種類,종류,jong ryu,种类,zhǒng lèi,種類,shurui,chõng loại,chong loai
92,完全,完全,완전,wan jeon,完全,wán quán,完全,kanzen,hoàn toàn,hoan toan
93,资料,資料,자료,ja ryo,资料,zī liào,資料,shiryou,liệu,lieu
94,同时,同時,동시,dong si,同时,tóng shí,同時,douji,đồng thì,dong thi
95,个人,個人,개인,gae in,个人,gè rén,個人,kojin,cá nhân,ca nhan
96,政治,政治,정치,jeong chi,政治,zhèng zhì,政治,seiji,chính trị,chinh tri
97,完成,完成,완성,wan seong,完成,wán chéng,完成,kansei,hoàn thành,hoan thanh
98,设计,設計,설계,seol gye,设计,shè jì,設計,sekkei,thết kể,thet ke
99,表示,表示,표시,pyo si,表示,biǎo shì,表示,hyouji,biểu kì,bieu ki
100,艺术,藝術,예술,ye sul,艺术,yì shù,芸術,geijutsu,nghệ thuật,nghe thuat
101,发行,發行,발행,bal haeng,发行,fā xíng,発行,hakkou,phát hàng,phat hang
102,决定,決定,결정,gyeol jeong,决定,jué dìng,決定,kettei,quyết định,quyet dinh
103,重要,重要,중요,jung yo,重要,zhòng yào,重要,juuyou,trọng yếu,trong yeu
104,评价,評價,평가,pyeong ga,评价,píng jià,評価,hyouka,bình giá,binh gia
105,是非,是非,시비,si bi,是非,shì fēi,是非,zehi,thị phi,thi phi
106,方式,方式,방식,bang sik,方式,fāng shì,方式,houshiki,phương thức,phuong thuc
107,有名,有名,유명,yu myeong,有名,yǒu míng,有名,yuumei,hữu danh,huu danh
108,制品,製品,제품,je pum,制品,zhì pǐn,製品,seihin,chế phẩm,che pham
109,当然,當然,당연,dang yeon,当然,dāng rán,当然,touzen,đương nhiên,duong nhien
110,目的,目的,목적,mok jeok,目的,mù dì,目的,mokuteki,mục đích,muc dich
111,材料,材料,재료,jae ryo,材料,cái liào,材料,zairyou,liệu,lieu
112,时期,時期,시기,si gi,时期,shí qī,時期,jiki,thì kì,thi ki
113,注意,注意,주의,ju ui,注意,zhù yì,注意,chuui,chú ý,chu y
114,传统,傳統,전통,jeon tong,传统,chuán tǒng,伝統,dentou,truyền thống,truyen thong
115,以前,以前,이전,i jeon,以前,yǐ qián,以前,izen,tiền,tien
116,处理,處理,처리,cheo ri,处理,chǔ lǐ,処理,shori,xử lí,xu li
117,能力,能力,능력,neung ryeok,能力,néng lì,能力,nouryoku,năng lực,nang luc
118,方向,方向,방향,bang hyang,方向,fāng xiàng,方向,houkou,phương hướng,phuong huong
119,交通,交通,교통,gyo tong,交通,jiāo tōng,交通,koutsuu,giao thông,giao thong
120,读者,讀者,독자,dok ja,读者,dú zhě,読者,dokusha,độc,doc
121,丰富,豊富,풍부,pung bu,丰富,fēng fù,豊富,houfu,phú,phu
122,季节,季節,계절,gye jeol,季节,jì jié,季節,kisetsu,quí tiết,qui tiet
123,世纪,世紀,세기,se gi,世纪,shì jì,世紀,seiki,thế kỉ,the ki
124,构成,構成,구성,gu seong,构成,gòu chéng,構成,kousei,thành,thanh
125,原因,原因,원인,won in,原因,yuán yīn,原因,gen'in,nguyên nhân,nguyen nhan
126,食品,食品,식품,sik pum,食品,shí pǐn,食品,shokuhin,phẩm,pham
127,直接,直接,직접,jik jeop,直接,zhí jiē,直接,chokusetsu,tiếp,tiep
128,平均,平均,평균,pyeong gyun,平均,píng jūn,平均,heikin,bình quân,binh quan
129,美术,美術,미술,mi sul,美术,měi shù,美術,bijutsu,mỉ thuật,mi thuat
130,教育,敎育,교육,gyo yuk,教育,jiào yù,教育,kyouiku,dục,duc
131,事业,事業,사업,sa eop,事业,shì yè,事業,jigyou,sự nghiệp,su nghiep
132,事实,事實,사실,sa sil,事实,shì shí,事実,jijitsu,sự thực,su thuc
133,文字,文字,문자,mun ja,文字,wén zì,文字,moji,văn tự,van tu
134,事件,事件,사건,sa geon,事件,shì jiàn,事件,jiken,sự kiện,su kien
135,请求,請求,청구,cheong gu,请求,qǐng qiú,請求,seikyuu,thỉnh cầu,thinh cau
136,对象,對象,대상,dae sang,对象,duì xiàng,対象,taishou,đỗi tượng,doi tuong
137,安定,安定,안정,an jeong,安定,ān dìng,安定,antei,an định,an dinh
138,安全,安全,안전,an jeon,安全,ān quán,安全,anzen,an toàn,an toan
139,管理,管理,관리,gwan ri,管理,guǎn lǐ,管理,kanri,quản lí,quan li
140,以来,以來,이래,i rae,以来,yǐ lái,以来,irai,lai,lai
141,选择,選擇,선택,seon taek,选择,xuǎn zé,選択,sentaku,tuyển trạch,tuyen trach
142,诞生,誕生,탄생,tan saeng,诞生,dàn shēng,誕生,tanjou,sinh,sinh
143,地区,地區,지구,ji gu,地区,dì qū,地区,chiku,địa khu,dia khu
144,指挥,指揮,지휘,ji hwi,指挥,zhǐ huī,指揮,shiki,chỉ huy,chi huy
145,女子,女子,여자,yeo ja,女子,nǚ zǐ,女子,joshi,tí,ti
146,地方,地方,지방,ji bang,地方,dì fāng,地方,chihou,địa phương,dia phuong
147,展开,展開,전개,jeon gae,展开,zhǎn kāi,展開,tenkai,triển khai,trien khai
148,有效,有效,유효,yu hyo,有效,yǒu xiào,有効,yuukou,hữu hiệu,huu hieu
149,成分,成分,성분,seong bun,成分,chéng fèn,成分,seibun,thành phân,thanh phan
150,构造,構造,구조,gu jo,构造,gòu zào,構造,kouzou,tạo,tao
151,成功,成功,성공,seong gong,成功,chéng gōng,成功,seikou,thành công,thanh cong
152,精神,精神,정신,jeong sin,精神,jīng shén,精神,seishin,tinh thần,tinh than
153,实施,實施,실시,sil si,实施,shí shī,実施,jisshi,thực thi,thuc thi
154,演出,演出,연출,yeon chul,演出,yǎn chū,演出,enshutsu,diễn xuất,dien xuat
155,观测,觀測,관측,gwan cheuk,观测,guān cè,観測,kansoku,quan trắc,quan trac
156,生产,生産,생산,saeng san,生产,shēng chǎn,生産,seisan,sinh sản,sinh san
157,理解,理解,이해,i hae,理解,lǐ jiě,理解,rikai,lí giải,li giai
158,出版,出版,출판,chul pan,出版,chū bǎn,出版,shuppan,xuất bản,xuat ban
159,调整,調整,조정,jo jeong,调整,tiáo zhěng,調整,chousei,điều chỉnh,dieu chinh
160,交换,交換,교환,gyo hwan,交换,jiāo huàn,交換,koukan,giao,giao
161,前后,前後,전후,jeon hu,前后,qián hòu,前後,zengo,tiền hậu,tien hau
162,少年,少年,소년,so nyeon,少年,shào nián,少年,shounen,thiểu nên,thieu nen
163,费用,費用,비용,bi yong,费用,fèi yòng,費用,hiyou,phí dụng,phi dung
164,日常,日常,일상,il sang,日常,rì cháng,日常,nichijou,nhật thường,nhat thuong
165,作业,作業,작업,jak eop,作业,zuò yè,作業,sagyou,tác nghiệp,tac nghiep
166,集中,集中,집중,jip jung,集中,jí zhōng,集中,shuuchuu,tập trung,tap trung
167,小说,小說,소설,so seol,小说,xiǎo shuō,小説,shousetsu,tiểu,tieu
168,全部,全部,전부,jeon bu,全部,quán bù,全部,zenbu,toàn bộ,toan bo
169,现实,現實,현실,hyeon sil,现实,xiàn shí,現実,genjitsu,hiện thực,hien thuc
170,个性,個性,개성,gae seong,个性,gè xìng,個性,kosei,cá tính,ca tinh
171,比较,比較,비교,bi gyo,比较,bǐ jiào,比較,hikaku,tỉ,ti
172,表情,表情,표정,pyo jeong,表情,biǎo qíng,表情,hyoujou,biểu tình,bieu tinh
173,经营,經營,경영,gyeong yeong,经营,jīng yíng,経営,keiei,kinh,kinh
174,市场,市場,시장,si jang,市场,shì chǎng,市場,shijou,thị trường,thi truong
175,职业,職業,직업,jik eop,职业,zhí yè,職業,shokugyou,chức nghiệp,chuc nghiep
176,不安,不安,불안,bul an,不安,bù ān,不安,fuan,bất an,bat an
177,外国,外國,외국,oe guk,外国,wài guó,外国,gaikoku,ngoại quốc,ngoai quoc
178,各种,各種,각종,gak jong,各种,gè zhǒng,各種,kakushu,các chõng,cac chong
179,将来,將來,장래,jang rae,将来,jiāng lái,将来,shourai,tướng lai,tuong lai
180,战争,戰爭,전쟁,jeon jaeng,战争,zhàn zhēng,戦争,sensou,chiến tranh,chien tranh
181,成长,成長,성장,seong jang,成长,chéng zhǎng,成長,seichou,thành trường,thanh truong
182,公园,公園,공원,gong won,公园,gōng yuán,公園,kouen,công viên,cong vien
183,治疗,治療,치료,chi ryo,治疗,zhì liáo,治療,chiryou,trị liệu,tri lieu
184,自信,自信,자신,ja sin,自信,zì xìn,自信,jishin,tự tín,tu tin
185,满足,滿足,만족,man jok,满足,mǎn zú,満足,manzoku,mãn túc,man tuc
186,倾向,傾向,경향,gyeong hyang,倾向,qīng xiàng,傾向,keikou,khuynh hướng,khuynh huong
187,作家,作家,작가,jak ga,作家,zuò jiā,作家,sakka,tác gia,tac gia
188,电子,電子,전자,jeon ja,电子,diàn zi,電子,denshi,tí,ti
189,过去,過去,과거,gwa geo,过去,guò qù,過去,kako,quá khứ,qua khu
190,空间,空間,공간,gong gan,空间,kōng jiān,空間,kuukan,không gian,khong gian
191,生命,生命,생명,saeng myeong,生命,shēng mìng,生命,seimei,sinh mệnh,sinh menh
192,道路,道路,도로,do ro,道路,dào lù,道路,douro,đạo lộ,dao lo
193,意见,意見,의견,ui gyeon,意见,yì jiàn,意見,iken,ý kiến,y kien
194,记忆,記憶,기억,gi eok,记忆,jì yì,記憶,kioku,kí ức,ki uc
195,操作,操作,조작,jo jak,操作,cāo zuò,操作,sousa,tác,tac
196,书店,書店,서점,seo jeom,书店,shū diàn,書店,shoten,thư điếm,thu diem
197,计算,計算,계산,gye san,计算,jì suàn,計算,keisan,kể toán,ke toan
198,地球,地球,지구,ji gu,地球,dì qiú,地球,chikyuu,địa cầu,dia cau
199,责任,責任,책임,chaek im,责任,zé rèn,責任,sekinin,trách nhậm,trach nham
200,目标,目標,목표,mok pyo,目标,mù biāo,目標,mokuhyou,mục bêu,muc beu
201,左右,左右,좌우,jwa u,左右,zuǒ yòu,左右,sayuu,tả hữu,ta huu
202,政府,政府,정부,jeong bu,政府,zhèng fǔ,政府,seifu,chính phủ,chinh phu
203,配合,配合,배합,bae hap,配合,pèi hé,配合,haigou,phối hợp,phoi hop
204,行动,行動,행동,haeng dong,行动,xíng dòng,行動,koudou,hàng động,hang dong
205,国民,國民,국민,guk min,国民,guó mín,国民,kokumin,quốc dân,quoc dan
206,文学,文學,문학,mun hak,文学,wén xué,文学,bungaku,văn học,van hoc
207,感动,感動,감동,gam dong,感动,gǎn dòng,感動,kandou,cảm động,cam dong
208,新鲜,新鮮,신선,sin seon,新鲜,xīn xiān,新鮮,shinsen,tân tiên,tan tien
209,地下,地下,지하,ji ha,地下,dì xià,地下,chika,địa hạ,dia ha
210,形式,形式,형식,hyeong sik,形式,xíng shì,形式,keishiki,hình thức,hinh thuc
211,公开,公開,공개,gong gae,公开,gōng kāi,公開,koukai,công khai,cong khai
212,事故,事故,사고,sa go,事故,shì gù,事故,jiko,sự cố,su co
213,积极,積極,적극,jeok geuk,积极,jī jí,積極,sekkyoku,tích cực,tich cuc
214,制作,製作,제작,je jak,制作,zhì zuò,製作,seisaku,chế tác,che tac
215,天然,天然,천연,cheon yeon,天然,tiān rán,天然,tennen,thiên nhiên,thien nhien
216,移动,移動,이동,i dong,移动,yí dòng,移動,idou,dời động,doi dong
217,动物,動物,동물,dong mul,动物,dòng wù,動物,doubutsu,động vật,dong vat
218,不足,不足,부족,bu jok,不足,bù zú,不足,fusoku,bất túc,bat tuc
219,科学,科學,과학,gwa hak,科学,kē xué,科学,kagaku,khoa học,khoa hoc
220,太阳,太陽,태양,tae yang,太阳,tài yáng,太陽,taiyou,thái dương,thai duong
221,燃料,燃料,연료,yeon ryo,燃料,rán liào,燃料,nenryou,nhen liệu,nhen lieu
222,工夫,工夫,공부,gong bu,工夫,gōng fu,工夫,kufuu,công phu,cong phu
223,数字,數字,숫자,sut ja,数字,shù zì,数字,suuji,số tự,so tu
224,工业,工業,공업,gong eop,工业,gōng yè,工業,kougyou,công nghiệp,cong nghiep
225,参考,參考,참고,cham go,参考,cān kǎo,参考,sankou,tham khảo,tham khao
226,性格,性格,성격,seong gyeok,性格,xìng gé,性格,seikaku,tính cách,tinh cach
227,实行,實行,실행,sil haeng,实行,shí xíng,実行,jikkou,thực hàng,thuc hang
228,速度,速度,속도,sok do,速度,sù dù,速度,sokudo,tốc độ,toc do
229,努力,努力,노력,no ryeok,努力,nǔ lì,努力,doryoku,lực,luc
230,理想,理想,이상,i sang,理想,lǐ xiǎng,理想,risou,lí tưởng,li tuong
231,机会,機會,기회,gi hoe,机会,jī huì,機会,kikai,cơ hội,co hoi
232,出发,出發,출발,chul bal,出发,chū fā,出発,shuppatsu,xuất phát,xuat phat
233,植物,植物,식물,sik mul,植物,zhí wù,植物,shokubutsu,thực vật,thuc vat
234,豆腐,豆腐,두부,du bu,豆腐,dòu fǔ,豆腐,toufu,đậu hủ,dau hu
235,记录,記錄,기록,gi rok,记录,jì lù,記録,kiroku,kí,ki
236,详细,詳細,상세,sang se,详细,xiáng xì,詳細,shousai,tường tới,tuong toi
237,政权,政權,정권,jeong gwon,政权,zhèng quán,政権,seiken,chính quyền,chinh quyen
238,风景,風景,풍경,pung gyeong,风景,fēng jǐng,風景,fuukei,phong cảnh,phong canh
239,报告,報告,보고,bo go,报告,bào gào,報告,houkoku,báo,bao
240,建筑,建築,건축,geon chuk,建筑,jiàn zhù,建築,kenchiku,kiến trốc,kien troc
241,判断,判斷,판단,pan dan,判断,pàn duàn,判断,handan,phán,phan
242,反对,反對,반대,ban dae,反对,fǎn duì,反対,hantai,phản đỗi,phan doi
243,业务,業務,업무,eop mu,业务,yè wù,業務,gyoumu,nghiệp vụ,nghiep vu
244,自己,自己,자기,ja gi,自己,zì jǐ,自己,jiko,tự kỉ,tu ki
245,少女,少女,소녀,so nyeo,少女,shào nǚ,少女,shoujo,thiểu nữa,thieu nua
246,知识,知識,지식,ji sik,知识,zhī shí,知識,chishiki,tri,tri
247,土地,土地,토지,to ji,土地,tǔ dì,土地,tochi,thổ địa,tho dia
248,保护,保護,보호,bo ho,保护,bǎo hù,保護,hogo,bảo hộ,bao ho
249,医疗,醫療,의료,ui ryo,医疗,yī liáo,医療,iryou,y liệu,y lieu
250,确实,確實,확실,hwak sil,确实,què shí,確実,kakujitsu,xác thực,xac thuc
251,设备,設備,설비,seol bi,设备,shè bèi,設備,setsubi,thết bị,thet bi
252,基础,基礎,기초,gi cho,基础,jī chǔ,基礎,kiso,cơ sờ,co so
253,宇宙,宇宙,우주,u ju,宇宙,yǔ zhòu,宇宙,uchuu,vũ trụ,vu tru
254,高原,高原,고원,go won,高原,gāo yuán,高原,kougen,cao nguyên,cao nguyen
255,制度,制度,제도,je do,制度,zhì dù,制度,seido,chế độ,che do
256,本来,本來,본래,bon rae,本来,běn lái,本来,honrai,bản lai,ban lai
257,姿势,姿勢,자세,ja se,姿势,zī shì,姿勢,shisei,tư thế,tu the
258,固定,固定,고정,go jeong,固定,gù dìng,固定,kotei,cố định,co dinh
259,团体,團體,단체,dan che,团体,tuán tǐ,団体,dantai,đoàn thể,doan the
260,加工,加工,가공,ga gong,加工,jiā gōng,加工,kakou,gia công,gia cong
261,金属,金屬,금속,geum sok,金属,jīn shǔ,金属,kinzoku,kim thuộc,kim thuoc
262,教授,敎授,교수,gyo su,教授,jiào shòu,教授,kyouju,thụ,thu
263,空气,空氣,공기,gong gi,空气,kōng qì,空気,kuuki,không khí,khong khi
264,手术,手術,수술,su sul,手术,shǒu shù,手術,shujutsu,thủ thuật,thu thuat
265,突然,突然,돌연,dol yeon,突然,tū rán,突然,totsuzen,đột nhiên,dot nhien
266,思想,思想,사상,sa sang,思想,sī xiǎng,思想,shisou,tư tưởng,tu tuong
267,神经,神經,신경,sin gyeong,神经,shén jīng,神経,shinkei,thần kinh,than kinh
268,男子,男子,남자,nam ja,男子,nán zi,男子,danshi,nam tí,nam ti
269,发生,發生,발생,bal saeng,发生,fā shēng,発生,hassei,phát sinh,phat sinh
270,面积,面積,면적,myeon jeok,面积,miàn jī,面積,menseki,tích,tich
271,机关,機關,기관,gi gwan,机关,jī guān,機関,kikan,cơ quan,co quan
272,作用,作用,작용,jak yong,作用,zuò yòng,作用,sayou,tác dụng,tac dung
273,失败,失敗,실패,sil pae,失败,shī bài,失敗,shippai,thất bại,that bai
274,成绩,成績,성적,seong jeok,成绩,chéng jì,成績,seiseki,thành tích,thanh tich
275,主要,主要,주요,ju yo,主要,zhǔ yào,主要,shuyou,chúa yếu,chua yeu
276,发挥,發揮,발휘,bal hwi,发挥,fā huī,発揮,hakki,phát huy,phat huy
277,独立,獨立,독립,dok rip,独立,dú lì,独立,dokuritsu,độc lập,doc lap
278,表面,表面,표면,pyo myeon,表面,biǎo miàn,表面,hyoumen,biểu,bieu
279,关心,關心,관심,gwan sim,关心,guān xīn,関心,kanshin,quan tâm,quan tam
280,内部,內部,내부,nae bu,内部,nèi bù,内部,naibu,bộ,bo
281,反应,反應,반응,ban eung,反应,fǎn yìng,反応,hannou,phản ứng,phan ung
282,品质,品質,품질,pum jil,品质,pǐn zhì,品質,hinshitsu,phẩm chất,pham chat
283,制造,製造,제조,je jo,制造,zhì zào,製造,seizou,chế tạo,che tao
284,相当,相當,상당,sang dang,相当,xiāng dāng,相当,soutou,tương đương,tuong duong
285,家具,家具,가구,ga gu,家具,jiā jù,家具,kagu,gia cụ,gia cu
286,主张,主張,주장,ju jang,主张,zhǔ zhāng,主張,shuchou,chúa trương,chua truong
287,近代,近代,근대,geun dae,近代,jìn dài,近代,kindai,cận đại,can dai
288,体育,體育,체육,che yuk,体育,tǐ yù,体育,taiiku,thể dục,the duc
289,疑问,疑問,의문,ui mun,疑问,yí wèn,疑問,gimon,,
290,教室,敎室,교실,gyo sil,教室,jiào shì,教室,kyoushitsu,thất,that
291,身体,身體,신체,sin che,身体,shēn tǐ,身体,shintai,thân thể,than the
292,特殊,特殊,특수,teuk su,特殊,tè shū,特殊,tokushu,đặc thùa,dac thua
293,吸收,吸收,흡수,heup su,吸收,xī shōu,吸収,kyuushuu,cộp thu,cop thu
294,建设,建設,건설,geon seol,建设,jiàn shè,建設,kensetsu,kiến thết,kien thet
295,正确,正確,정확,jeong hwak,正确,zhèng què,正確,seikaku,chính xác,chinh xac
296,证明,證明,증명,jeung myeong,证明,zhèng míng,証明,shoumei,chứng minh,chung minh
297,背景,背景,배경,bae gyeong,背景,bèi jǐng,背景,haikei,bối cảnh,boi canh
298,维持,維持,유지,yu ji,维持,wéi chí,維持,iji,trì,tri
299,扩大,擴大,확대,hwak dae,扩大,kuò dà,拡大,kakudai,quẳng đại,quang dai
300,欢迎,歡迎,환영,hwan yeong,欢迎,huān yíng,歓迎,kangei,hoan nghênh,hoan nghenh
301,记者,記者,기자,gi ja,记者,jì zhě,記者,kisha,kí,ki
302,共同,共同,공동,gong dong,共同,gòng tóng,共同,kyoudou,cộng đồng,cong dong
303,实验,實驗,실험,sil heom,实验,shí yàn,実験,jikken,thực nghiệm,thuc nghiem
304,重视,重視,중시,jung si,重视,zhòng shì,重視,juushi,trọng thị,trong thi
305,分析,分析,분석,bun seok,分析,fēn xī,分析,bunseki,phân,phan
306,帽子,帽子,모자,mo ja,帽子,mào zi,帽子,boushi,mão tí,mao ti
307,医学,醫學,의학,ui hak,医学,yī xué,医学,igaku,y học,y hoc
308,加入,加入,가입,ga ip,加入,jiā rù,加入,kanyuu,gia nhập,gia nhap
309,解决,解決,해결,hae gyeol,解决,jiě jué,解決,kaiketsu,giải quyết,giai quyet
310,追求,追求,추구,chu gu,追求,zhuī qiú,追求,tsuikyuu,truy cầu,truy cau
